No,Kode Baru,Nama Bahan Makanan,Air (g),Energi (Kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),Abu (g),Kalsium (Ca) (mg),Fosfor (P) (mg),Besi (Fe) (mg),Natrium (Na) (mg),Kalium (Ka) (mg),Tembaga (Cu) (mg),Seng (Zn) (mg),Retinol (vit. A) (mcg),β-karoten (mcg),Karoten total (mcg),Thiamin (vit. B1) (mg),Riboflavin (vit. B2) (mg),Niasin (mg),Vitamin C (mg),BDD (%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
105,BP005,"Bentul, talas, kukus","81,1",71,"2,3","0,3","15,4","0,5","0,9",29,26,"0,6",-,"201,0","0,20","0,6",-,-,-,"0,06",-,-,21,100,Olahan,Umbi,KZGPI-1990
106,BP019,Beras Cerdas,"11,3",350,"2,7","1,1","82,3","6,2","2,6",28,351,"2,9",358,"568,0","0,20","0,9",-,"0,4",-,"0,02","0,20","0,3","0,2",100,Olahan,Umbi,BKP
107,BP020,Beras ganyong,"9,3",364,"3,4","0,7","86,3","4,7","0,5",4,47,"5,0",4,"72,2","0,20","0,6",-,1.000,"0,1","0,02","0,02","0,3","0,2",100,Olahan,Umbi,BKP
108,AR002,"Beras giling var pelita, mentah","11,4",369,"9,5","1,4","77,1","0,4","0,6",68,171,"1,4",34,-,-,-,-,-,-,"0,26",-,-,-,100,Tunggal,Serealia,KZGPI-1990
109,AR003,"Beras giling var rojolele, mentah","12,0",357,"8,4","1,7","77,1","0,2","0,8",147,81,"1,8",34,"112,9","0,14","0,1",-,-,80,"0,20","0,02","1,5",-,100,Tunggal,Serealia,KZGPI-1990
110,AR001,"Beras giling, mentah","12,0",357,"8,4","1,7","77,1","0,2","0,8",147,81,"1,8",27,"71,0","0,10","0,5",-,-,-,"0,20","0,08","2,6",-,100,Tunggal,Serealia,KZGMI-2001
111,AR004,"Beras hitam, mentah","12,9",351,"8,0","1,3","76,9","20,1","0,9",6,198,"0,1",15,"105,0","0,10","1,6",-,-,-,"0,21","0,06",-,-,100,Tunggal,Serealia,KZGMI-2001
112,AR005,"Beras jagung kuning, kering, mentah","10,8",358,"5,5","0,1","82,7","10,0","0,9",20,90,"1,4",1,"80,0","0,10","4,1",-,641,-,"0,12","0,08","1,0",3,100,Tunggal,Serealia,KZGMI-2001
113,AR006,"Beras jagung putih, kering, mentah","22,5",307,"4,8","0,1","71,8","10,0","0,8",17,78,"1,2",1,"70,0","0,10","3,5",-,301,-,"0,15","0,07","0,9",-,100,Tunggal,Serealia,KZGMI-2001
114,AR007,"Beras ketan hitam tumbuk, mentah","13,7",360,"8,0","2,3","74,5","1,0","1,5",10,347,"6,2",11,"288,0","0,28","2,2",-,-,-,"0,24","0,10","2,0",-,100,Tunggal,Serealia,KZGPI-1990
115,AR008,"Beras ketan putih tumbuk, mentah","12,9",361,"7,4","0,8","78,4","0,4","0,5",13,157,"3,4",3,"282,0","0,28","2,2",-,-,-,"0,28",-,"1,4",-,100,Tunggal,Serealia,KZGPI-1990
116,AR009,"Beras ladang, mentah","9,8",376,"7,5","3,8","78,0","5,9","0,9",20,110,"0,8",10,"70,0","0,10","1,4",-,-,-,"0,20","0,20","5,1",-,100,Tunggal,Serealia,KZGMI-2001
117,AR010,"Beras menir, mentah","12,0",362,"7,7","4,4","73,0","0,2","0,2",22,272,"3,7",90,"201,0","0,10","0,5",-,-,-,"0,55","0,04","1,9",-,100,Tunggal,Serealia,DABM-1964
118,AR011,Beras parboiled,"10,0",353,"6,8","0,6","80,0","0,5","2,5",5,142,"0,8",2,"46,0","0,28","1,0",-,-,-,"0,22","0,11","3,4",-,100,Tunggal,Serealia,DABM-1964
119,BP021,Beras Siger,"13,5",344,"1,1","0,2","28,3","5,6","0,7",32,22,"5,6",106,"77,9","0,10","0,5",-,-,-,"0,02","0,10","0,2","0,2",100,Olahan,Umbi,BKP
120,AR013,"Beras tumbuk merah, mentah","14,6",352,"7,3","0,9","76,2","0,8","1,0",15,257,"4,2",10,"202,0","0,36","1,9",-,-,-,"0,34","0,05","3,3",-,100,Tunggal,Serealia,KZGPI-1990
81,DR009,"Bayam merah, segar","88,5",41,"2,2","0,8","6,3","2,2","2,2",520,80,"7,0",20,"60,0","0,20","0,8",-,7.325,-,"0,20","0,10","0,1",62,71,Tunggal,Sayur,KZGMI-2001
82,DP001,"Bayam, kukus","90,7",30,"1,3","0,7","5,8","1,2","1,6",239,35,"5,7",15,"431,0","0,10","0,3",-,2.699,3.750,"0,02","0,10","0,9",32,100,Olahan,Sayur,KZGPI-1990
83,DP002,"Bayam, rebus","93,5",23,"1,2","0,6","3,7","1,1","1,0",150,35,"0,5",16,"308,4","0,20","0,3",-,3.282,2.864,"0,02","0,10","0,9",19,100,Olahan,Sayur,KZGPI-1990
84,DR008,"Bayam, segar","94,5",16,"0,9","0,4","2,9","0,7","1,3",166,76,"3,5",16,"456,4","0,13","0,4",-,2.699,2.293,"0,04","0,10","1,0",41,71,Tunggal,Sayur,KZGPI-1990
85,HP005,"Bayau mi balu, masakan","36,1",313,"6,0","12,2","44,8",-,"0,9",-,-,-,-,-,-,-,783,89,-,"0,14","0,27","9,7",-,100,Olahan,Telur,KGZMI-2001
86,FR012,"Bebek (itik), daging, segar","54,3",321,"16,0","28,6",-,-,"1,1",15,188,"1,8",54,"199,0","0,21","1,2",273,-,-,"0,10","0,28","4,3",-,60,Tunggal,Daging,DABM-1964
87,FR013,"Bebek alabio, daging, segar","57,0",303,"11,3","27,0","3,7",-,"1,0",20,293,"4,8",50,"260,0","0,70","2,0",-,-,-,"0,36","0,04","4,1",-,100,Tunggal,Daging,KZGMI-2001
88,FP003,"Bebek, daging, goreng","48,8",300,"24,0","20,7","4,5",-,"2,0",170,170,"4,1",34,"6,0","0,40","3,0",-,-,-,"0,10","0,40","10,6",-,100,Olahan,Daging,KZGMI-2001
89,DP026,Beberuk,"89,1",65,"1,1","5,2","3,5","3,1","1,1",179,72,"8,3",53,"427,0","0,40","0,2",-,44,-,"0,30",-,"4,4",-,100,Olahan,Sayur,KZGMI-2001
90,FP036,Beef burger,"45,5",258,"10,6","9,5","32,5","0,4","2,2",210,157,"2,6",572,"189,1",-,-,218,-,7.580,"0,95",-,-,-,100,Olahan,Daging,KZGMS-1993
91,FP037,"Beef teriyaki, masakan","65,1",151,"8,6","3,1","22,3","0,3","0,9",142,62,"2,3",377,-,-,-,22,-,400,"0,53",-,-,-,100,Olahan,Daging,KZGMS-1993
92,FP038,"Beef yakiniku, masakan","67,7",132,"9,8","1,1","20,7","0,3","0,8",302,67,"2,0",409,-,-,-,78,-,700,"0,62",-,-,-,100,Olahan,Daging,KZGMS-1993
93,NP002,Bekasam,"65,5",116,"11,9","4,9","6,1","3,5","11,6",704,757,"7,5",711,"176,0","0,80","1,9",-,-,-,-,"0,03","2,1",-,-,Olahan,Bumbu,KZGMI-2001
94,NP003,Bekasang,"67,1",78,"11,4","2,0","3,6","0,4","15,9",54,97,"2,6",4.016,"121,0","0,20","4,8",-,-,-,"0,15","0,12","0,6",-,-,Olahan,Bumbu,KZGMI-2001
95,GP001,"Bekicot, dendeng, mentah","6,7",441,"48,7","20,3","15,8",-,"8,4",692,523,"16,6",-,-,-,-,6,-,1.408,"0,56",-,-,69,100,Olahan,Ikan dsb,KZGPI-1990
96,FR014,"Belibis, daging, segar","71,3",131,"20,2","4,3","2,8",-,"1,4",8,192,"9,6",46,"104,0","1,20","1,6",-,-,-,"0,37","0,08","2,7",-,100,Tunggal,Daging,KZGMI-2001
97,ER006,"Belimbing, segar","90,0",36,"0,4","0,4","8,8","3,3","0,4",4,12,"1,1",4,"130,0",-,"0,1",-,29,170,"0,03",-,-,35,86,Tunggal,Buah,DABM-1964
98,BP004,"Belitung, talas, kukus","63,1",145,"1,2","0,4","34,2","1,0","1,1",21,48,"0,9",7,"552,6","0,20","0,9",-,-,-,"0,08","0,10","2,3",1,100,Olahan,Umbi,KZGPI-1990
99,BR004,"Belitung, talas, segar","63,1",145,"1,2","0,4","34,2","1,5","1,1",26,54,"1,4",6,"536,1","0,20","0,9",-,-,-,"0,10","0,10","2,3",2,85,Tunggal,Umbi,KZGPI-1990
100,GP002,"Belut, goreng","11,2",417,"25,9","19,4","32,0",-,"11,5",840,872,"4,9",71,"217,7","0,30","1,8",-,-,-,-,"0,20","10,5",-,-,Olahan,Ikan dsb,KZGPI-1990
101,GR011,"Belut, segar","81,5",70,"14,6","0,8","1,0",-,"2,1",49,155,"1,5",55,"169,0","0,20","1,2",-,-,-,"0,22","0,12","7,7",-,-,Tunggal,Ikan dsb,KZGMI-2001
102,GR012,"Belut,laut, segar","79,5",93,"12,8","1,5","6,1",-,"4,1",60,199,"3,0",33,"175,9","0,10","1,0",51,3,71,"0,06",-,"2,7",-,-,Tunggal,Ikan dsb,KZGPI-1990
103,BR005,"Bengkuang, segar","85,1",59,"1,4","0,2","12,8","1,0","0,5",15,18,"0,6",2,"244,3","0,10","0,3",-,-,-,"0,04","0,10","0,2",20,84,Tunggal,Umbi,DABM-1964
104,BR006,"Bentul (Komba), talas, segar","75,8",98,"1,6","0,7","20,9","0,7","1,8",44,66,"1,5",-,"195,5","0,20","0,6",-,-,-,"0,02","0,10","0,8",-,86,Tunggal,Umbi,KZGPI-1990
105,BP005,"Bentul, talas, kukus","81,1",71,"2,3","0,3","15,4","0,5","0,9",29,26,"0,6",-,"201,0","0,20","0,6",-,-,-,"0,06",-,-,21,100,Olahan,Umbi,KZGPI-1990
106,BP019,Beras Cerdas,"11,3",350,"2,7","1,1","82,3","6,2","2,6",28,351,"2,9",358,"568,0","0,20","0,9",-,"0,4",-,"0,02","0,20","0,3","0,2",100,Olahan,Umbi,BKP
107,BP020,Beras ganyong,"9,3",364,"3,4","0,7","86,3","4,7","0,5",4,47,"5,0",4,"72,2","0,20","0,6",-,1.000,"0,1","0,02","0,02","0,3","0,2",100,Olahan,Umbi,BKP
108,AR002,"Beras giling var pelita, mentah","11,4",369,"9,5","1,4","77,1","0,4","0,6",68,171,"1,4",34,-,-,-,-,-,-,"0,26",-,-,-,100,Tunggal,Serealia,KZGPI-1990
109,AR003,"Beras giling var rojolele, mentah","12,0",357,"8,4","1,7","77,1","0,2","0,8",147,81,"1,8",34,"112,9","0,14","0,1",-,-,80,"0,20","0,02","1,5",-,100,Tunggal,Serealia,KZGPI-1990
110,AR001,"Beras giling, mentah","12,0",357,"8,4","1,7","77,1","0,2","0,8",147,81,"1,8",27,"71,0","0,10","0,5",-,-,-,"0,20","0,08","2,6",-,100,Tunggal,Serealia,KZGMI-2001
111,AR004,"Beras hitam, mentah","12,9",351,"8,0","1,3","76,9","20,1","0,9",6,198,"0,1",15,"105,0","0,10","1,6",-,-,-,"0,21","0,06",-,-,100,Tunggal,Serealia,KZGMI-2001
112,AR005,"Beras jagung kuning, kering, mentah","10,8",358,"5,5","0,1","82,7","10,0","0,9",20,90,"1,4",1,"80,0","0,10","4,1",-,641,-,"0,12","0,08","1,0",3,100,Tunggal,Serealia,KZGMI-2001
113,AR006,"Beras jagung putih, kering, mentah","22,5",307,"4,8","0,1","71,8","10,0","0,8",17,78,"1,2",1,"70,0","0,10","3,5",-,301,-,"0,15","0,07","0,9",-,100,Tunggal,Serealia,KZGMI-2001
114,AR007,"Beras ketan hitam tumbuk, mentah","13,7",360,"8,0","2,3","74,5","1,0","1,5",10,347,"6,2",11,"288,0","0,28","2,2",-,-,-,"0,24","0,10","2,0",-,100,Tunggal,Serealia,KZGPI-1990
115,AR008,"Beras ketan putih tumbuk, mentah","12,9",361,"7,4","0,8","78,4","0,4","0,5",13,157,"3,4",3,"282,0","0,28","2,2",-,-,-,"0,28",-,"1,4",-,100,Tunggal,Serealia,KZGPI-1990
116,AR009,"Beras ladang, mentah","9,8",376,"7,5","3,8","78,0","5,9","0,9",20,110,"0,8",10,"70,0","0,10","1,4",-,-,-,"0,20","0,20","5,1",-,100,Tunggal,Serealia,KZGMI-2001
117,AR010,"Beras menir, mentah","12,0",362,"7,7","4,4","73,0","0,2","0,2",22,272,"3,7",90,"201,0","0,10","0,5",-,-,-,"0,55","0,04","1,9",-,100,Tunggal,Serealia,DABM-1964
118,AR011,Beras parboiled,"10,0",353,"6,8","0,6","80,0","0,5","2,5",5,142,"0,8",2,"46,0","0,28","1,0",-,-,-,"0,22","0,11","3,4",-,100,Tunggal,Serealia,DABM-1964
119,BP021,Beras Siger,"13,5",344,"1,1","0,2","28,3","5,6","0,7",32,22,"5,6",106,"77,9","0,10","0,5",-,-,-,"0,02","0,10","0,2","0,2",100,Olahan,Umbi,BKP
120,AR013,"Beras tumbuk merah, mentah","14,6",352,"7,3","0,9","76,2","0,8","1,0",15,257,"4,2",10,"202,0","0,36","1,9",-,-,-,"0,34","0,05","3,3",-,100,Tunggal,Serealia,KZGPI-1990
81,DR009,"Bayam merah, segar","88,5",41,"2,2","0,8","6,3","2,2","2,2",520,80,"7,0",20,"60,0","0,20","0,8",-,7.325,-,"0,20","0,10","0,1",62,71,Tunggal,Sayur,KZGMI-2001
82,DP001,"Bayam, kukus","90,7",30,"1,3","0,7","5,8","1,2","1,6",239,35,"5,7",15,"431,0","0,10","0,3",-,2.699,3.750,"0,02","0,10","0,9",32,100,Olahan,Sayur,KZGPI-1990
83,DP002,"Bayam, rebus","93,5",23,"1,2","0,6","3,7","1,1","1,0",150,35,"0,5",16,"308,4","0,20","0,3",-,3.282,2.864,"0,02","0,10","0,9",19,100,Olahan,Sayur,KZGPI-1990
84,DR008,"Bayam, segar","94,5",16,"0,9","0,4","2,9","0,7","1,3",166,76,"3,5",16,"456,4","0,13","0,4",-,2.699,2.293,"0,04","0,10","1,0",41,71,Tunggal,Sayur,KZGPI-1990
85,HP005,"Bayau mi balu, masakan","36,1",313,"6,0","12,2","44,8",-,"0,9",-,-,-,-,-,-,-,783,89,-,"0,14","0,27","9,7",-,100,Olahan,Telur,KGZMI-2001
86,FR012,"Bebek (itik), daging, segar","54,3",321,"16,0","28,6",-,-,"1,1",15,188,"1,8",54,"199,0","0,21","1,2",273,-,-,"0,10","0,28","4,3",-,60,Tunggal,Daging,DABM-1964
87,FR013,"Bebek alabio, daging, segar","57,0",303,"11,3","27,0","3,7",-,"1,0",20,293,"4,8",50,"260,0","0,70","2,0",-,-,-,"0,36","0,04","4,1",-,100,Tunggal,Daging,KZGMI-2001
88,FP003,"Bebek, daging, goreng","48,8",300,"24,0","20,7","4,5",-,"2,0",170,170,"4,1",34,"6,0","0,40","3,0",-,-,-,"0,10","0,40","10,6",-,100,Olahan,Daging,KZGMI-2001
89,DP026,Beberuk,"89,1",65,"1,1","5,2","3,5","3,1","1,1",179,72,"8,3",53,"427,0","0,40","0,2",-,44,-,"0,30",-,"4,4",-,100,Olahan,Sayur,KZGMI-2001
90,FP036,Beef burger,"45,5",258,"10,6","9,5","32,5","0,4","2,2",210,157,"2,6",572,"189,1",-,-,218,-,7.580,"0,95",-,-,-,100,Olahan,Daging,KZGMS-1993
91,FP037,"Beef teriyaki, masakan","65,1",151,"8,6","3,1","22,3","0,3","0,9",142,62,"2,3",377,-,-,-,22,-,400,"0,53",-,-,-,100,Olahan,Daging,KZGMS-1993
92,FP038,"Beef yakiniku, masakan","67,7",132,"9,8","1,1","20,7","0,3","0,8",302,67,"2,0",409,-,-,-,78,-,700,"0,62",-,-,-,100,Olahan,Daging,KZGMS-1993
93,NP002,Bekasam,"65,5",116,"11,9","4,9","6,1","3,5","11,6",704,757,"7,5",711,"176,0","0,80","1,9",-,-,-,-,"0,03","2,1",-,-,Olahan,Bumbu,KZGMI-2001
94,NP003,Bekasang,"67,1",78,"11,4","2,0","3,6","0,4","15,9",54,97,"2,6",4.016,"121,0","0,20","4,8",-,-,-,"0,15","0,12","0,6",-,-,Olahan,Bumbu,KZGMI-2001
95,GP001,"Bekicot, dendeng, mentah","6,7",441,"48,7","20,3","15,8",-,"8,4",692,523,"16,6",-,-,-,-,6,-,1.408,"0,56",-,-,69,100,Olahan,Ikan dsb,KZGPI-1990
96,FR014,"Belibis, daging, segar","71,3",131,"20,2","4,3","2,8",-,"1,4",8,192,"9,6",46,"104,0","1,20","1,6",-,-,-,"0,37","0,08","2,7",-,100,Tunggal,Daging,KZGMI-2001
97,ER006,"Belimbing, segar","90,0",36,"0,4","0,4","8,8","3,3","0,4",4,12,"1,1",4,"130,0",-,"0,1",-,29,170,"0,03",-,-,35,86,Tunggal,Buah,DABM-1964
98,BP004,"Belitung, talas, kukus","63,1",145,"1,2","0,4","34,2","1,0","1,1",21,48,"0,9",7,"552,6","0,20","0,9",-,-,-,"0,08","0,10","2,3",1,100,Olahan,Umbi,KZGPI-1990
99,BR004,"Belitung, talas, segar","63,1",145,"1,2","0,4","34,2","1,5","1,1",26,54,"1,4",6,"536,1","0,20","0,9",-,-,-,"0,10","0,10","2,3",2,85,Tunggal,Umbi,KZGPI-1990
100,GP002,"Belut, goreng","11,2",417,"25,9","19,4","32,0",-,"11,5",840,872,"4,9",71,"217,7","0,30","1,8",-,-,-,-,"0,20","10,5",-,-,Olahan,Ikan dsb,KZGPI-1990
101,GR011,"Belut, segar","81,5",70,"14,6","0,8","1,0",-,"2,1",49,155,"1,5",55,"169,0","0,20","1,2",-,-,-,"0,22","0,12","7,7",-,-,Tunggal,Ikan dsb,KZGMI-2001
102,GR012,"Belut,laut, segar","79,5",93,"12,8","1,5","6,1",-,"4,1",60,199,"3,0",33,"175,9","0,10","1,0",51,3,71,"0,06",-,"2,7",-,-,Tunggal,Ikan dsb,KZGPI-1990
103,BR005,"Bengkuang, segar","85,1",59,"1,4","0,2","12,8","1,0","0,5",15,18,"0,6",2,"244,3","0,10","0,3",-,-,-,"0,04","0,10","0,2",20,84,Tunggal,Umbi,DABM-1964
104,BR006,"Bentul (Komba), talas, segar","75,8",98,"1,6","0,7","20,9","0,7","1,8",44,66,"1,5",-,"195,5","0,20","0,6",-,-,-,"0,02","0,10","0,8",-,86,Tunggal,Umbi,KZGPI-1990
105,BP005,"Bentul, talas, kukus","81,1",71,"2,3","0,3","15,4","0,5","0,9",29,26,"0,6",-,"201,0","0,20","0,6",-,-,-,"0,06",-,-,21,100,Olahan,Umbi,KZGPI-1990
106,BP019,Beras Cerdas,"11,3",350,"2,7","1,1","82,3","6,2","2,6",28,351,"2,9",358,"568,0","0,20","0,9",-,"0,4",-,"0,02","0,20","0,3","0,2",100,Olahan,Umbi,BKP
107,BP020,Beras ganyong,"9,3",364,"3,4","0,7","86,3","4,7","0,5",4,47,"5,0",4,"72,2","0,20","0,6",-,1.000,"0,1","0,02","0,02","0,3","0,2",100,Olahan,Umbi,BKP
108,AR002,"Beras giling var pelita, mentah","11,4",369,"9,5","1,4","77,1","0,4","0,6",68,171,"1,4",34,-,-,-,-,-,-,"0,26",-,-,-,100,Tunggal,Serealia,KZGPI-1990
109,AR003,"Beras giling var rojolele, mentah","12,0",357,"8,4","1,7","77,1","0,2","0,8",147,81,"1,8",34,"112,9","0,14","0,1",-,-,80,"0,20","0,02","1,5",-,100,Tunggal,Serealia,KZGPI-1990
110,AR001,"Beras giling, mentah","12,0",357,"8,4","1,7","77,1","0,2","0,8",147,81,"1,8",27,"71,0","0,10","0,5",-,-,-,"0,20","0,08","2,6",-,100,Tunggal,Serealia,KZGMI-2001
111,AR004,"Beras hitam, mentah","12,9",351,"8,0","1,3","76,9","20,1","0,9",6,198,"0,1",15,"105,0","0,10","1,6",-,-,-,"0,21","0,06",-,-,100,Tunggal,Serealia,KZGMI-2001
112,AR005,"Beras jagung kuning, kering, mentah","10,8",358,"5,5","0,1","82,7","10,0","0,9",20,90,"1,4",1,"80,0","0,10","4,1",-,641,-,"0,12","0,08","1,0",3,100,Tunggal,Serealia,KZGMI-2001
113,AR006,"Beras jagung putih, kering, mentah","22,5",307,"4,8","0,1","71,8","10,0","0,8",17,78,"1,2",1,"70,0","0,10","3,5",-,301,-,"0,15","0,07","0,9",-,100,Tunggal,Serealia,KZGMI-2001
114,AR007,"Beras ketan hitam tumbuk, mentah","13,7",360,"8,0","2,3","74,5","1,0","1,5",10,347,"6,2",11,"288,0","0,28","2,2",-,-,-,"0,24","0,10","2,0",-,100,Tunggal,Serealia,KZGPI-1990
115,AR008,"Beras ketan putih tumbuk, mentah","12,9",361,"7,4","0,8","78,4","0,4","0,5",13,157,"3,4",3,"282,0","0,28","2,2",-,-,-,"0,28",-,"1,4",-,100,Tunggal,Serealia,KZGPI-1990
116,AR009,"Beras ladang, mentah","9,8",376,"7,5","3,8","78,0","5,9","0,9",20,110,"0,8",10,"70,0","0,10","1,4",-,-,-,"0,20","0,20","5,1",-,100,Tunggal,Serealia,KZGMI-2001
117,AR010,"Beras menir, mentah","12,0",362,"7,7","4,4","73,0","0,2","0,2",22,272,"3,7",90,"201,0","0,10","0,5",-,-,-,"0,55","0,04","1,9",-,100,Tunggal,Serealia,DABM-1964
118,AR011,Beras parboiled,"10,0",353,"6,8","0,6","80,0","0,5","2,5",5,142,"0,8",2,"46,0","0,28","1,0",-,-,-,"0,22","0,11","3,4",-,100,Tunggal,Serealia,DABM-1964
119,BP021,Beras Siger,"13,5",344,"1,1","0,2","28,3","5,6","0,7",32,22,"5,6",106,"77,9","0,10","0,5",-,-,-,"0,02","0,10","0,2","0,2",100,Olahan,Umbi,BKP
120,AR013,"Beras tumbuk merah, mentah","14,6",352,"7,3","0,9","76,2","0,8","1,0",15,257,"4,2",10,"202,0","0,36","1,9",-,-,-,"0,34","0,05","3,3",-,100,Tunggal,Serealia,KZGPI-1990
801,AP094,Onde-onde,"27,7",336,"4,0","9,8","57,9",-,"0,6",-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001
802,BP052,Ongol-ongol sagu,"75,3",111,"0,3","2,7","21,2","0,3","0,5",79,15,"1,7",-,-,-,-,-,-,-,"0,06",-,-,-,100,Olahan,Umbi,KZGPI-1990
803,FP058,"Oramu ninahu ndawa olaho, masakan","74,9",117,"13,7","5,0","4,3",-,"0,1",964,804,"2,0",-,"727,0","0,30","1,5",4.095,-,-,"0,77","0,04","1,7",-,100,Olahan,Daging,KZGMI-2001
804,BP053,Oyek,"12,6",351,"0,9","0,9","84,9","4,3","0,7",60,36,"2,1",5,"229,0","0,10","0,5",-,-,-,"0,02","0,02","0,5","0,2",100,Olahan,Umbi,BKP
805,AP095,Padamaran,"67,6",171,"3,9","8,9","18,8",-,"0,8",-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001
806,DP043,Paku hinela wulelenggapaya,"83,4",77,"3,5","4,6","5,4","3,6","3,1",63,85,-,469,"37,0","0,30","0,7",-,55,-,"0,80","0,10","0,2",4,100,Olahan,Sayur,KZGMI-2001
807,NR024,"Pala, biji, kering","14,3",518,"7,5","36,4","40,1","3,5","1,7",120,240,"4,6",2,"78,7","0,94","2,0",-,7,-,"0,20","0,02","0,5",-,95,Tunggal,Bumbu,DABM-1964
808,ER072,"Pala, daging, segar","88,1",42,"0,3","0,2","10,9","0,5","0,5",32,24,"1,5",-,-,-,-,-,-,29,-,-,-,22,30,Tunggal,Buah,DABM-1964
809,FP059,"Paniki masak santan, masakan","25,4",460,"28,5","35,2","7,2",-,"3,7",188,357,"5,5",2.002,"532,0","0,40","2,5",954,-,-,"0,27","0,19",-,-,100,Olahan,Daging,KZGMI-2001
810,BP054,Papeda,"84,8",61,"0,2","0,1","14,9","0,5","0,1",3,1,"0,2",4,"20,0","0,10","0,1",-,-,-,"0,06",-,-,-,100,Olahan,Umbi,KZGMI-2001
811,GP076,"Parede baleh, masakan","80,0",87,"10,5","2,5","5,5",-,"1,5",35,215,"0,9",416,"59,0","0,10","0,2",-,-,-,"0,24",-,"0,7",-,-,Olahan,Ikan dsb,KZGMI-2001
812,DP015,"Paria putih, kukus","95,0",16,"0,8","0,2","3,4","1,2","0,6",16,33,"0,5",4,"236,0",-,"0,7",-,187,65,"0,15","0,04","0,3",35,100,Olahan,Sayur,KZGPI-1990
813,DR131,"Paria putih, segar","94,4",19,"1,0","0,4","3,6","1,3","0,6",31,65,"0,9",5,"277,7","0,03","0,8",-,197,80,"0,18","0,04","0,4",58,80,Tunggal,Sayur,KZGPI-1990
814,AP096,Pastel,"38,3",307,"4,5","13,3","42,4",-,"1,5",296,53,"2,5",-,-,-,-,-,-,5.360,"0,15",-,-,-,100,Olahan,Serealia,KZGMS-1993
815,DP044,Pelecing kangkung,"83,8",75,"2,5","2,8","10,0","5,4","0,9",36,3,"2,1",408,"381,0","0,10","0,4",-,870,-,"0,70",-,"0,2",12,100,Olahan,Sayur,KZGMI-2001
816,FP060,"Pelolah manuk, masakan","60,0",219,"19,7","13,6","4,4",-,"2,3",33,160,"1,6",577,-,-,-,137,-,1.940,"0,42",-,-,-,100,Olahan,Daging,KZGMI-2001
817,GP077,Pempek adaan,"62,6",162,"4,9","3,0","27,8",-,"1,7",26,116,"1,0",488,"119,0","0,10","0,2",-,-,-,"0,30","0,03","1,0",-,-,Olahan,Ikan dsb,KZGMI-2001
818,GP078,Pempek belida,"61,4",156,"4,2","1,4","31,6","0,2","1,4",100,55,"3,3",-,-,-,-,-,-,-,"0,03",-,-,-,-,Olahan,Ikan dsb,KZGPI-1990
819,GP079,Pempek kapal selam,"63,4",152,"4,5","2,3","28,2",-,"1,6",19,115,"1,6",628,"91,0","0,10","0,2",-,-,-,"0,20","0,03","1,0",-,-,Olahan,Ikan dsb,KZGMI-2001
820,GP080,Pempek kelesan,"53,0",211,"12,3","6,1","26,6","0,4","2,0",840,176,"1,8",-,-,-,-,14,-,888,"0,25",-,-,-,-,Olahan,Ikan dsb,KZGPI-1990
821,GP081,Pempek kulit,"45,7",243,"5,2","7,3","39,1",-,"2,7",16,96,"2,0",555,"102,0","0,10","0,6",-,-,-,"0,20","0,02","0,9",-,-,Olahan,Ikan dsb,KZGMI-2001
822,GP082,Pempek telur,"62,4",156,"4,7","2,7","28,3",-,"1,9",13,83,"1,3",448,"48,0","0,10","0,6",-,-,-,"0,20","0,05","1,1",-,-,Olahan,Ikan dsb,KZGMI-2001
823,GP083,Pempek tenggiri,"56,3",173,"7,2","1,2","33,4","0,2","1,9",164,80,"3,1",-,-,-,-,-,-,-,"0,02",-,-,-,-,Olahan,Ikan dsb,KZGPI-1990
824,GP084,"Pencok lele, masakan","47,5",372,"7,8","36,3","3,5",-,"4,9",289,295,"5,3",-,-,-,-,64,-,12.070,"0,12",-,-,-,-,Olahan,Ikan dsb,KZGPI-1990
825,FP066,"Penyu, serapah, masakan","71,3",174,"13,1","12,2","2,2",-,"1,2",72,186,"9,5",-,"507,0","0,80","2,4",1.302,-,-,-,-,-,-,100,Olahan,Daging,KZGPI-1990
826,DR132,"Pepare ular, segar","95,1",19,"0,6","0,1","3,9","1,0","0,3",20,10,"0,4",130,"30,0","0,10","0,1",-,69,-,"0,10","0,10","0,1",9,97,Tunggal,Sayur,KZGMI-2001
827,DR133,"Pepaya muda, segar","92,3",29,"2,1","0,1","4,9","2,1","0,6",50,16,"0,4",22,"211,2","0,01",-,-,-,50,"0,02","0,03","0,3",19,65,Tunggal,Sayur,DABM-1964
828,ER073,"Pepaya, segar","86,7",46,"0,5","12,0","12,2","1,6","0,6",23,12,"1,7",4,"221,0","0,02","0,3",-,1.038,365,"0,04","0,06","0,4",78,75,Tunggal,Buah,DABM-1964
829,CP019,Pepes oncom ampas tahu,"80,9",76,"5,2","1,8","10,6","2,2","1,5",215,66,"12,5",-,-,-,-,-,-,268,"0,11",-,-,-,100,Olahan,Kacang,KZGPI-1990
